Epoch 1/1000, Input: [-0.24481414], Target: [1024.], Output: [-0.1331137476054451]
Epoch 1/1000, Input: [-0.28117267], Target: [1.], Output: [0.07171287514407601]
Epoch 1/1000, Input: [-0.35388974], Target: [1.], Output: [0.0718985325690472]
Epoch 1/1000, Input: [3.31832231], Target: [1.e+20], Output: [0.07208415286253339]
Epoch 1/1000, Input: [-0.68111656], Target: [1.e+10], Output: [1.0720841528625333]
Epoch 1/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [2.0720841528625336]
Epoch 1/1000, Input: [-0.46296535], Target: [1048576.], Output: [3.0720841528625336]
Epoch 1/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [4.072084152862534]
Epoch 1/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [5.072084152862534]
Epoch 1/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [6.072084152862534]
Epoch 1/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [7.072084152862534]
Epoch 1/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [8.072084152862534]
Epoch 1/1000, Input: [-0.53568242], Target: [60466176.], Output: [9.072084152862534]
Epoch 1/1000, Input: [-0.35388974], Target: [1.], Output: [10.072084152862534]
Epoch 1/1000, Input: [-0.2084556], Target: [59049.], Output: [10.07026973603196]
Epoch 2/1000, Input: [-0.24481414], Target: [1024.], Output: [11.07026973603196]
Epoch 2/1000, Input: [-0.28117267], Target: [1.], Output: [11.272855682084755]
Epoch 2/1000, Input: [-0.35388974], Target: [1.], Output: [11.270801110948337]
Epoch 2/1000, Input: [3.31832231], Target: [1.e+20], Output: [11.268746950726147]
Epoch 2/1000, Input: [-0.68111656], Target: [1.e+10], Output: [12.268746950726147]
Epoch 2/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [13.268746950726147]
Epoch 2/1000, Input: [-0.46296535], Target: [1048576.], Output: [14.268746950726147]
Epoch 2/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [15.268746950726147]
Epoch 2/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [16.268746950726147]
Epoch 2/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [17.268746950726147]
Epoch 2/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [18.268746950726147]
Epoch 2/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [19.268746950726147]
Epoch 2/1000, Input: [-0.53568242], Target: [60466176.], Output: [20.268746950726147]
Epoch 2/1000, Input: [-0.35388974], Target: [1.], Output: [21.268746950726147]
Epoch 2/1000, Input: [-0.2084556], Target: [59049.], Output: [21.264693201336]
Epoch 3/1000, Input: [-0.24481414], Target: [1024.], Output: [22.264693201336]
Epoch 3/1000, Input: [-0.28117267], Target: [1.], Output: [22.465040262695734]
Epoch 3/1000, Input: [-0.35388974], Target: [1.], Output: [22.460747254643195]
Epoch 3/1000, Input: [3.31832231], Target: [1.e+20], Output: [22.456455105192266]
Epoch 3/1000, Input: [-0.68111656], Target: [1.e+10], Output: [23.456455105192266]
Epoch 3/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [24.456455105192266]
Epoch 3/1000, Input: [-0.46296535], Target: [1048576.], Output: [25.456455105192266]
Epoch 3/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [26.456455105192266]
Epoch 3/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [27.456455105192266]
Epoch 3/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [28.456455105192266]
Epoch 3/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [29.456455105192266]
Epoch 3/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [30.456455105192266]
Epoch 3/1000, Input: [-0.53568242], Target: [60466176.], Output: [31.456455105192266]
Epoch 3/1000, Input: [-0.35388974], Target: [1.], Output: [32.45645510519226]
Epoch 3/1000, Input: [-0.2084556], Target: [59049.], Output: [32.450163814171226]
Epoch 4/1000, Input: [-0.24481414], Target: [1024.], Output: [33.450163814171226]
Epoch 4/1000, Input: [-0.28117267], Target: [1.], Output: [33.64827378140839]
Epoch 4/1000, Input: [-0.35388974], Target: [1.], Output: [33.64174412665211]
Epoch 4/1000, Input: [3.31832231], Target: [1.e+20], Output: [33.63521577782678]
Epoch 4/1000, Input: [-0.68111656], Target: [1.e+10], Output: [34.63521577782678]
Epoch 4/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [35.63521577782678]
Epoch 4/1000, Input: [-0.46296535], Target: [1048576.], Output: [36.63521577782678]
Epoch 4/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [37.63521577782678]
Epoch 4/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [38.63521577782678]
Epoch 4/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [39.63521577782678]
Epoch 4/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [40.63521577782678]
Epoch 4/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [41.63521577782678]
Epoch 4/1000, Input: [-0.53568242], Target: [60466176.], Output: [42.63521577782678]
Epoch 4/1000, Input: [-0.35388974], Target: [1.], Output: [43.63521577782678]
Epoch 4/1000, Input: [-0.2084556], Target: [59049.], Output: [43.62668873467121]
Epoch 5/1000, Input: [-0.24481414], Target: [1024.], Output: [44.62668873467121]
Epoch 5/1000, Input: [-0.28117267], Target: [1.], Output: [44.82256339692428]
Epoch 5/1000, Input: [-0.35388974], Target: [1.], Output: [44.813798884244896]
Epoch 5/1000, Input: [3.31832231], Target: [1.e+20], Output: [44.805036124468046]
Epoch 5/1000, Input: [-0.68111656], Target: [1.e+10], Output: [45.805036124468046]
Epoch 5/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [46.805036124468046]
Epoch 5/1000, Input: [-0.46296535], Target: [1048576.], Output: [47.805036124468046]
Epoch 5/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [48.805036124468046]
Epoch 5/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [49.805036124468046]
Epoch 5/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [50.805036124468046]
Epoch 5/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [51.805036124468046]
Epoch 5/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [52.805036124468046]
